Opening date,Title,Studio,Cast and crew,Genre,Country,Screen_name
Jan-04,Escape Room,Columbia Pictures,"Adam Robitel (director); Bragi F. Schut, Maria Melnik (screenplay); Logan Miller, Deborah Ann Woll, Taylor Russell, Tyler Labine, Jay Ellis, Nik Dodani","Drama, Horror, Thriller, Mystery",US,Escape_Room
Jan-11,A Dog's Way Home,Columbia Pictures,"Charles Martin Smith (director); W. Bruce Cameron (screenplay); Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp, Ashley Judd, Jonah Haur-King, Wes Studi","Drama, Family",US,ADogsWayHome
Jan-11,The Upside,STX Entertainment / Lantern Entertainment,"Neil Burger (director); Jon Hartmere (screenplay); Bryan Cranston, Kevin Hart, Nicole Kidman","Comedy, Drama",US,TheUpsideFilm
Jan-11,Replicas,Entertainment Studios,Jeffrey Nachmanoff (director); Chad St. John (screenplay); Keanu Reeves,"Sci-Fi, Thriller",US,replicas_movie
Jan-18,Glass,Universal Pictures / Buena Vista International / Blumhouse Productions,"M. Night Shyamalan (director/screenplay); James McAvoy, Bruce Willis, Samuel L. Jackson, Sarah Paulson, Anya Taylor-Joy, Spencer Treat Clark, Charlayne Woodard","Superhero, Horror, Thriller",US,GlassMovie
Jan-25,The Kid Who Would Be King,20th Century Fox / Working Title Films,"Joe Cornish (director/screenplay); Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor, Rhianna Doris, Angus Imrie, Rebecca Ferguson, Patrick Stewart","Fantasy, Adventure, Family","UK, US",KidWouldBeKing
Jan-25,Serenity,Aviron Pictures / Global Road Entertainment,"Steven Knight (director/screenplay); Matthew McConaughey, Anne Hathaway, Jason Clarke, Diane Lane, Djimon Hounsou","Drama, Thriller",US,SerenityFilm
Feb-01,Miss Bala,Columbia Pictures,"Catherine Hardwicke (director); Gareth Dunnet-Alcocer (screenplay); Gina Rodriguez, Anthony Mackie, Matt Lauria","Crime, Drama",US,MissBala
Feb-01,Velvet Buzzsaw,Netflix,"Dan Gilroy (director/screenplay); Jake Gyllenhaal, Rene Russo, Toni Collette, Zawe Ashton, Tom Sturridge, Natalia Dyer, Daveed Diggs, Billy Magnussen, John Malkovich","Horror, Thriller",US,
Feb-08,The Lego Movie 2: The Second Part,Warner Bros. / Warner Animation Group,"Mike Mitchell (director); Phil Lord, Christopher Miller (screenplay); Chris Pratt, Elizabeth Banks, Tiffany Haddish, Will Arnett, Stephanie Beatriz, Charlie Day, Alison Brie, Nick Offerman, Maya Rudolph, Will Ferrell","Animation, Adventure, Comedy",US,TheLEGOMovie
Feb-08,What Men Want,Paramount Players / Will Packer Productions,"Adam Shankman (director); Tina Gordon Chism (screenplay); Taraji P. Henson, Tracy Morgan, Max Greenfield, Aldis Hodge, Wendi McLendon-Covey",Comedy,US,whatmenwant
Feb-08,Cold Pursuit,Summit Entertainment / StudioCanal,"Hans Petter Moland (director); Frank Baldwin (screenplay); Liam Neeson, Laura Dern, Emmy Rossum, Tom Bateman","Action, Thriller",US,ColdPursuit
