Studio,Screen_name,Studio_id,Followers,Friends_count,tweets_count,Joined_time
Columbia Pictures,ColumbiaStudios,1465344716,1865,6,12,2013-05-28 14:15:24
STX Entertainment,STXEnt,2998868947,40281,206,1084,2015-01-27 20:15:53
Lantern Entertainment,lantern_ent,993917042343403520,61,2,7,2018-05-08 14:14:23
Entertainment Studios,ESGlobalMedia,34728131,2669,246,2231,2009-04-23 17:01:54
Universal Pictures,UniversalPics,21904217,3695593,704,13312,2009-02-25 14:14:14
Blumhouse Productions,blumhouse,50133479,208240,1782,17852,2009-06-23 19:06:01
20th Century Fox,20thcenturyfox,203162990,3784994,1730,7268,2010-10-15 13:31:08
Working Title Films,Working_Title,41089343,14114,747,2131,2009-05-19 06:10:50
Aviron Pictures,AvironPictures,2986211544,2692,12,24,2015-01-16 19:10:05
Global Road Entertainment,GlobalRoad,308653083,41949,1824,3021,2011-05-31 15:33:02
Netflix,netflix,16573941,5976921,1203,27977,2008-10-03 00:16:17
Warner Bros.,wbpictures,20255162,4078659,873,21731,2009-02-06 12:46:43
Warner Animation Group,WBHomeEnt,23990483,1106946,744,9991,2009-03-12 13:42:27
Will Packer Productions,willpackerprods,2344194050,3129,411,4121,2014-02-14 17:26:05
Summit Entertainment,SummitEnt,40321246,131524,210,1532,2009-05-15 16:08:42
StudioCanal,STUDIOCANAL,33474474,192125,663,6744,2009-04-20 06:12:41
Orion Pictures,OrionPictures,958438351979257856,2859,142,297,2018-01-30 15:34:44
XYZ Films,XYZFilms,1924134396,7758,1481,5113,2013-10-01 14:02:23
New Line Cinema,newlinecinema,270494532,17008,418,1890,2011-03-22 14:34:37
Lightstorm Entertainment,Lightstorm_Ent,1026581935332544512,448,4,0,2018-08-06 17:33:01
DreamWorks Animation,DWAnimation,25341996,1875009,190,10541,2009-03-19 13:20:46
Metro-Goldwyn-Mayer,MGM_Studios,14840869,2053199,348,6225,2008-05-19 22:27:53
Lionsgate,Lionsgate,20727819,968510,21948,18307,2009-02-12 17:42:03
Focus Features,FocusFeatures,19981142,496159,1543,22692,2009-02-03 11:25:09
Marvel Studios,MarvelStudios,750751206427860992,2586565,81,9706,2016-07-06 14:00:10
Paramount Pictures,ParamountPics,15291335,2858057,9342,9302,2008-07-01 15:53:49
Paramount Animation,Paramount_LA,2290462322,793,121,557,2014-01-13 20:45:22
Nickelodeon Movies,Nickelodeon,58309829,3863119,2630,49607,2009-07-19 18:19:02
Participant Media,Participant,13451802,90123,5669,41397,2008-02-13 18:01:33
Fox Searchlight Pictures,foxsearchlight,3291841,722164,1245,8004,2007-04-03 02:03:55
CBS Films,CBSFilms,21344543,66321,811,13912,2009-02-19 17:03:27
Walt Disney Pictures,DisneyStudios,36947388,5289469,278,10047,2009-05-01 09:59:15
Neon,neonrated,780860698200911872,6648,89,2262,2016-09-27 16:04:33
Pure Flix,PureFlix,103006172,30095,15649,23873,2010-01-08 10:10:33
Millennium Films,MillenniumFilms,45914948,2285,196,1260,2009-06-09 15:13:41
Annapurna Pictures,AnnapurnaPics,285694773,197431,639,6137,2011-04-21 12:25:39
Laika,LAIKAStudios,787012898157572096,25338,93,948,2016-10-14 15:31:11
Disneynature,Disneynature,33472426,64016,219,1018,2009-04-20 05:55:36
A24,A24,546076148,1470945,1076,5838,2012-04-05 11:54:35
Screen Gems,euescreengems,23081919,14799,1619,3828,2009-03-06 11:14:32
Point Grey Pictures,PointGrey,2196549073,1162,86,12,2013-11-15 15:04:35
OddLot Entertainment,MWMstorydriven,884807564289912832,694,423,598,2017-07-11 12:12:17
Sky Cinema,SkyCinemaUK,64411954,134017,485,28201,2009-08-10 10:11:19
Legendary Entertainment,Legendary,325633686,202909,399,7501,2011-06-28 12:28:29
Vertical Entertainment,Vertical_Ent,963884627524960256,252,217,24,2018-02-14 16:16:18
Amblin Entertainment,amblin,34676063,1103449,882,2596,2009-04-23 13:45:30
Walden Media,WaldenMedia,21355318,3318,945,5142,2009-02-19 19:03:48
Bleecker Street,bleeckerstfilms,2730310742,5518,152,2950,2014-08-13 17:06:39
Sony Pictures,SonyPictures,14497313,2339673,4455,15930,2008-04-23 13:21:46
Marvel Entertainment,Marvel,15687962,7808087,780,50277,2008-08-01 07:26:10
Amazon Studios,AmazonStudios,186222238,126104,162,6524,2010-09-02 18:01:54
Gravitas Ventures,GravitasVOD,96658460,10212,3843,12186,2009-12-13 19:38:37
Pixar,Pixar,43192807,11390336,148,7318,2009-05-28 16:47:33
Sony Pictures Animation,SonyAnimation,241227689,56067,100,3584,2011-01-21 14:26:24
Original Film,originalfilmla,2344255896,40,1,3,2014-02-14 18:36:02
Seven Bucks Productions,SevenBucksProd,3344540968,18223,244,1198,2015-06-24 15:38:32
Entertainment One,eOnefilms,74232364,50708,2053,27167,2009-09-14 15:01:20
Rovio Animation,Rovio,335241981,99085,172,3001,2011-07-14 07:22:51
Thunder Road Pictures,thunderroadpics,1012053022321434624,62,43,52,2018-06-27 15:20:18
IFC Films,IFCFilms,19678610,331326,3471,11838,2009-01-28 16:51:32
TriStar Pictures,TriStarPics,1487348520,320,6,2,2013-06-06 05:56:57
Sony Affirm,AFFIRMFilms,76810408,6580,27,2330,2009-09-23 20:52:51
Blue Sky Studios,blueskystudios,348632490,27629,212,2104,2011-08-04 15:03:03
Carnival Films,Carnival_Films,830781014,6009,403,1736,2012-09-18 06:36:18
Pearl Studio,pearlstudiosh,963316578820374528,166,45,67,2018-02-13 02:39:04
Village Roadshow Pictures,RoadshowFilms,25201236,51931,1705,12892,2009-03-18 20:56:35
DC Comics,DCComics,18173624,3146003,531,41411,2008-12-16 16:41:22
Green Hat Films,hat_films,144556500,160468,155,9621,2010-05-16 12:58:47
Skydance Media,Skydance,352586927,118540,755,6905,2011-08-10 16:43:48
Jerry Bruckheimer Films,BRUCKHEIMERJB,41533440,243118,115,3768,2009-05-21 01:06:09
Cinesite Studios,Cinesite,76608266,23139,1274,3017,2009-09-23 06:12:49
Bron Studios,BronStudios,491748268,3342,2295,3191,2012-02-13 19:01:01
